text,label,happiness,tokens
I feel happy.,1,,
I'm so happy.,1,,
She is happy.,1,,
We are happy.,1,,
She looks happy.,1,,
Jane looks happy.,1,,
She became happy.,1,,
He was very happy.,1,,
I felt very happy.,1,,
I'm kind of happy.,1,,
You make me happy.,1,,
Bob was very happy.,1,,
Everyone was happy.,1,,
She made him happy.,1,,
She makes me happy.,1,,
He seems quite happy.,1,,
Tom looks very happy.,1,,
Tom seems very happy.,1,,
He might not be happy.,1,,
Jane looks very happy.,1,,
The news made me happy.,1,,
The news made him happy.,1,,
I want to make her happy.,1,,
The news made them happy.,1,,
Your letter made me happy.,1,,
I'm happy to see you again.,1,,
Are you happy in your house?,1,,
"He's rich, but he's not happy.",1,,
I am happy to hear your voice.,1,,
I said I would make her happy.,1,,
She asked him if he was happy.,1,,
Are you happy with your weight?,1,,
She wouldn't be happy with him.,1,,
Are you happy with how you look?,1,,
She told him that she was happy.,1,,
She was very happy with my gift.,1,,
I'd be happy to attend your party.,1,,
I've never been this happy before.,1,,
"He tried to make his wife happy, but couldn't. ",1,,
"Just because he's rich, doesn't mean he's happy. Tom has money. However, he's not all that happy.",1,,
"I bought her a toy cat, but she wasn't happy with it.",1,,
"To be happy, you should spend time with someone you love.",1,,
I want to spend more time doing things that make me happy.,1,,
I can't tell you how happy I am that you've come to visit us.,1,,
Mary felt happy when she learned the results of the election.,1,,
"If you want your workers to be happy, you need to pay them a decent wage.",1,,
"If you want your workers to be happy, you need to pay them a decent wage.",1,,
She'll be happy to see you.,1,,
Happy the man who wins her!,1,,
"She wanted Gabriel to be happy but couldn't bear to see it, not when her own world was still so new and frightening.",1,,
"My father made holes in these so that I could string them, and for a long time they kept me happy and contented.",1,,
Little Benjamin Franklin was very happy; for he was only seven years old.,1,,
"It makes me happy to know much about my loving Father, who is good and wise.",1,,
"Happy as Petya was, he felt sad at having to go home knowing that all the enjoyment of that day was over.",1,,
Jule was happy to piss off the little green-eyed troll.,1,,
She was happy for it.,1,,
"She is always doing something to make some one happy, and her generosity and wise counsel have never failed my teacher and me in all the years we have known her.",1,,
I am very happy to write to you because I think of you and love you.,1,,
"She is always doing something to make some one happy, and her generosity and wise counsel have never failed my teacher and me in all the years we have known her.",1,,
I am very happy to write to you because I think of you and love you.,1,,
Prince Vasili entered the room with the air of a happy conqueror who has attained the object of his desires.,1,,
I'll go wherever you go - and I'll be happy there.,1,,
We're very happy together.,1,,
I told you that I was very happy because of your happiness.,1,,
They have her in pull-ups now and she's not happy about that.,1,,
"The two years in New York were happy ones, and I look back to them with genuine pleasure.",1,,
"I shall always keep them, and it will make me very happy to think that you found them, on that far away island, from which Columbus sailed to discover our dear country.",1,,
"This good and happy news delighted me exceedingly, for then I was sure that I should learn also.",1,,
